Time Interval,Close,Net Chg,Open,High,Low,Tick Count
09:00 - 09:30,23784.13,-2.77,23786.9,23810.67,23781.65,2941
09:30 - 10:00,23830.22,46.09,23784.13,23833.56,23772.48,3657
10:00 - 10:30,23824.3,-5.92,23830.42,23856.25,23821.66,3883
10:30 - 11:00,23845.05,20.75,23824.45,23856.03,23815.31,4355
11:00 - 11:30,23837.96,-7.09,23845.37,23865.02,23803.77,4766
11:30 - 12:00,23832.02,-5.94,23832.02,23832.02,23832.02,1
03:00 - 03:30,24014.75,182.73,23979.65,24037.71,23963.51,5497
03:30 - 04:00,24039.23,24.48,24015.73,24045.35,24006.29,2994
04:00 - 04:30,24032.97,-6.26,24039.09,24061.5,24030.42,2714
04:30 - 05:00,24004.13,-28.84,24033.17,24040.01,23993.65,2377
05:00 - 05:30,24011.76,7.63,24004.63,24027.82,24003.09,2263
05:30 - 06:00,24012.59,0.83,24011.18,24026.13,24000.1,1856
06:00 - 06:30,24043.2,30.61,24012.45,24046.68,24006.32,1707
06:30 - 07:00,24044.36,1.16,24043.3,24053.57,24031.55,1579
07:00 - 07:30,24035.15,-9.21,24044.26,24045.3,24018.28,1581
07:30 - 08:00,24010.98,-24.17,24034.65,24041.64,23997.31,1437
08:00 - 08:30,24027.46,16.48,24011.05,24039.14,24009.64,1747
08:30 - 09:00,24036.16,8.7,24027.33,24053.57,24022.88,1602
09:00 - 09:30,24065.5,29.34,24036.26,24072.06,24033.97,1859
09:30 - 10:00,24043.66,-21.84,24065.1,24078.29,24038.06,2575
10:00 - 10:30,24046.27,2.61,24043.69,24056.05,24035.39,2346
10:30 - 11:00,24048.43,2.16,24045.98,24060.93,24039.95,2309
11:00 - 11:30,24029.91,-18.52,24050.35,24053.51,24015.69,2939
11:30 - 12:00,24016.7,-13.21,24016.7,24016.7,24016.7,1
03:00 - 03:30,24016.02,-0.68,24061.43,24084.24,23999.25,4824
03:30 - 04:00,24023.69,7.67,24015.02,24029.82,23966.36,3278
04:00 - 04:30,24046.35,22.66,24023.63,24052.66,24018.56,2549
04:30 - 05:00,24085.04,38.69,24045.93,24085.17,24045.57,2293
05:00 - 05:30,24072.31,-12.73,24085.11,24105.01,24059.95,2264
05:30 - 06:00,24077.17,4.86,24072.35,24097.03,24063.57,2194
06:00 - 06:30,24121.32,44.15,24076.53,24126.49,24076.27,1769
06:30 - 07:00,24117.3,-4.02,24121.26,24146.55,24114.07,1456
07:00 - 07:30,24105.21,-12.09,24117.33,24117.79,24098.53,1193
07:30 - 08:00,24104.07,-1.14,24104.92,24119.73,24102.7,1204
08:00 - 08:30,24103.1,-0.97,24102.57,24107.99,24083.13,1129
08:30 - 09:00,24099.07,-4.03,24100.8,24102.06,24058.95,1748
09:00 - 09:30,24105.74,6.67,24099.19,24112.35,24088.9,1650
09:30 - 10:00,24104.74,-1,24105.87,24107.93,24054.56,2153
10:00 - 10:30,24105.73,0.99,24105.81,24110.07,24086.76,1961
10:30 - 11:00,24079.28,-26.45,24105.86,24108.75,24074.37,1897
11:00 - 11:30,24044.78,-34.5,24079.34,24085.6,24030.77,2574
11:30 - 12:00,24021.4,-23.38,24021.4,24021.4,24021.4,1
03:00 - 03:30,24031.97,10.57,24061.45,24061.45,23972.09,4443
03:30 - 04:00,24017.08,-14.89,24032.09,24045.05,23979.66,2655
04:00 - 04:30,23987.2,-29.88,24015.74,24029.23,23955.01,2373
04:30 - 05:00,23997.94,10.74,23987.05,24017.29,23981.89,1661
05:00 - 05:30,23993.13,-4.81,23998.09,23998.4,23979.45,1622
05:30 - 06:00,24008.26,15.13,23993.18,24011.51,23987.98,1464
06:00 - 06:30,23988.49,-19.77,24008.29,24011.83,23987.58,1224
06:30 - 07:00,23873.37,-115.12,23988.51,23997.07,23868.56,2041
07:00 - 07:30,23911.82,38.45,23873.23,23914.7,23865.92,1342
07:30 - 08:00,23927.42,15.6,23911.86,23944.85,23908.74,1128
08:00 - 08:30,23952.23,24.81,23927.54,23953.37,23917.31,1081
08:30 - 09:00,23925.01,-27.22,23952.49,23958.84,23893.13,1410
09:00 - 09:30,23898.96,-26.05,23924.72,23929.62,23891.93,1400
09:30 - 10:00,23867.84,-31.12,23899.09,23900.07,23829.41,2659
10:00 - 10:30,23854.5,-13.34,23867.91,23869.78,23836.28,1902
10:30 - 11:00,23874.18,19.68,23854.35,23876.4,23838.26,1955
11:00 - 11:30,23885.47,11.29,23873.95,23893.79,23863.82,2515
11:30 - 12:00,23896.59,11.12,23896.59,23896.59,23896.59,1
03:00 - 03:30,23714.26,-182.33,23931.94,23938.1,23706.43,4305
03:30 - 04:00,23816.43,102.17,23714.34,23821.04,23709.08,3400
04:00 - 04:30,23876.43,60,23817.07,23887.9,23799.98,2526
04:30 - 05:00,23916.28,39.85,23876.59,23947.97,23876.59,2356
05:00 - 05:30,23889.34,-26.94,23916.15,23917.38,23859.01,1941
05:30 - 06:00,23864.11,-25.23,23889.97,23893.63,23835.74,1877
06:00 - 06:30,23822.15,-41.96,23863.79,23879.53,23802.82,1717
06:30 - 07:00,23883.3,61.15,23822.21,23883.75,23818.89,1720
