Time Interval,Close,Net Chg,Open,High,Low,Tick Count
10:30 - 11:00,17238.84,13.63,17226.13,17242.03,17225.56,120
11:00 - 11:30,17230.44,-8.4,17239.43,17241.11,17227,120
11:30 - 12:00,17245.89,15.45,17231.16,17246.18,17230.18,120
12:00 - 12:30,17241.79,-4.1,17245,17255.51,17240.44,120
12:30 - 13:00,17235.19,-6.6,17241.78,17242.28,17226.2,120
13:00 - 13:30,17237.15,1.96,17235.94,17246.85,17234.72,120
13:30 - 14:00,17233.77,-3.38,17237.43,17241.27,17231.46,120
14:00 - 14:30,17238.79,5.02,17233.79,17242.82,17233.44,120
14:30 - 15:00,17243.27,4.48,17238.87,17250.37,17238.69,120
15:00 - 15:30,17230.71,-12.56,17242.88,17242.88,17228.32,120
15:30 - 16:00,17234,3.29,17230.59,17234,17219.55,120
16:00 - 16:30,17235.57,1.57,17235.57,17235.57,17235.57,81
09:30 - 10:00,17218.96,-16.61,17223.24,17224.88,17187.22,120
10:00 - 10:30,17241.36,22.4,17219.57,17251.87,17219.57,120
10:30 - 11:00,17239.66,-1.7,17241.64,17243.61,17230.38,120
11:00 - 11:30,17240.69,1.03,17240.01,17254.06,17235.96,120
11:30 - 12:00,17237.57,-3.12,17241.52,17245.32,17228.97,120
12:00 - 12:30,17223.54,-14.03,17237.16,17237.16,17211.51,120
12:30 - 13:00,17235.76,12.22,17223.87,17240.06,17220.71,120
13:00 - 13:30,17244.94,9.18,17235.67,17245.53,17234.92,120
13:30 - 14:00,17246.92,1.98,17244.46,17250.69,17241.31,120
14:00 - 14:30,17239.11,-7.81,17247.16,17247.16,17235.92,120
14:30 - 15:00,17239.15,0.04,17239.44,17240.53,17233.99,120
15:00 - 15:30,17231.49,-7.66,17239.18,17239.36,17225.86,120
15:30 - 16:00,17238.82,7.33,17230.55,17238.82,17218.89,120
16:00 - 16:30,17234.49,-4.33,17234.49,17234.49,17234.49,81
09:30 - 10:00,17223.25,-11.24,17237.62,17237.62,17198.88,120
10:00 - 10:30,17221.01,-2.24,17223.01,17224.58,17201.25,120
10:30 - 11:00,17232.89,11.88,17220.07,17232.89,17212.22,120
11:00 - 11:30,17230.42,-2.47,17232.69,17240.81,17227.68,120
11:30 - 12:00,17239.36,8.94,17230.18,17242.16,17230.18,120
12:00 - 12:30,17252.46,13.1,17237.38,17255.27,17237.38,120
12:30 - 13:00,17258.41,5.95,17252.56,17258.97,17252.56,120
13:00 - 13:30,17258.29,-0.12,17258.01,17263.59,17256.24,120
13:30 - 14:00,17254.42,-3.87,17258.26,17259.64,17254.42,120
14:00 - 14:30,17268.48,14.06,17254.5,17268.63,17252.04,120
14:30 - 15:00,17267.57,-0.91,17268.61,17270.94,17265.56,120
15:00 - 15:30,17274.05,6.48,17267.45,17278.38,17267.45,120
15:30 - 16:00,17300.72,26.67,17273.88,17301.76,17272.79,120
16:00 - 16:30,17293.42,-7.3,17293.42,17293.42,17293.42,81
09:30 - 10:00,17295.11,1.69,17288.61,17303.2,17281.26,120
10:00 - 10:30,17311.65,16.54,17296.17,17315.98,17293.45,120
10:30 - 11:00,17307.43,-4.22,17311.75,17316.42,17304.96,120
11:00 - 11:30,17317.11,9.68,17308,17325.52,17307.17,120
11:30 - 12:00,17323.65,6.54,17317.81,17326.39,17317,120
12:00 - 12:30,17324.25,0.6,17323.37,17326.12,17320.33,120
12:30 - 13:00,17330.49,6.24,17324.02,17335.91,17324.02,120
13:00 - 13:30,17334.29,3.8,17330.78,17334.89,17329.52,120
13:30 - 14:00,17324,-10.29,17333.92,17340.77,17315.17,120
14:00 - 14:30,17323.27,-0.73,17323.95,17325.27,17308.08,120
14:30 - 15:00,17325.62,2.35,17323.33,17333.91,17323.17,120
15:00 - 15:30,17329.4,3.78,17326.5,17334.93,17321.21,120
15:30 - 16:00,17354.29,24.89,17328.45,17356.47,17327.32,120
16:00 - 16:30,17352.9,-1.39,17352.9,17352.9,17352.9,81
09:30 - 10:00,17399.9,47,17364.81,17400.01,17345.09,120
10:00 - 10:30,17379.37,-20.53,17398.77,17398.77,17377.42,120
10:30 - 11:00,17388.47,9.1,17381.36,17399.53,17381.36,120
11:00 - 11:30,17391.8,3.33,17389.42,17393.64,17377.56,120
