Time Interval,Close,Net Chg,Open,High,Low,Tick Count
09:00 - 09:30,13257.63,4.2,13254.01,13270.55,13253.94,1800
09:30 - 10:00,13290.53,32.9,13257.22,13296.07,13250.75,1800
10:00 - 10:30,13300.92,10.39,13293.08,13315.41,13289.71,1800
10:30 - 11:00,13312.41,11.49,13302.26,13334.04,13300.4,1800
11:00 - 11:30,13316.76,4.35,13312.33,13329.27,13285.92,1800
11:30 - 12:00,13320.18,3.42,13316.45,13320.18,13316.45,900
03:00 - 03:30,13486.57,166.39,13474.76,13504.16,13467.26,1633
03:30 - 04:00,13500.92,14.35,13487.58,13521.5,13487.28,1800
04:00 - 04:30,13486.57,-14.35,13500.82,13515.68,13483.53,1800
04:30 - 05:00,13482.55,-4.02,13486.08,13495.39,13471.46,1800
05:00 - 05:30,13475.09,-7.46,13481.78,13501.05,13475.09,1800
05:30 - 06:00,13469.88,-5.21,13475.06,13481.72,13466.84,1800
06:00 - 06:30,13489.05,19.17,13469.88,13491.21,13468.83,1800
06:30 - 07:00,13490.93,1.88,13488.94,13493.33,13482.27,1800
07:00 - 07:30,13479.71,-11.22,13490.67,13491.79,13466.02,1800
07:30 - 08:00,13469.65,-10.06,13479.98,13484.95,13456.78,1800
08:00 - 08:30,13477.55,7.9,13468.12,13483.49,13466.5,1800
08:30 - 09:00,13482.43,4.88,13477.61,13488.93,13477.61,1800
09:00 - 09:30,13484.72,2.29,13482.41,13485.63,13474.83,1800
09:30 - 10:00,13492.99,8.27,13486.39,13504.75,13479.51,1800
10:00 - 10:30,13499.04,6.05,13493.93,13499.16,13482.95,1800
10:30 - 11:00,13513.28,14.24,13498.96,13523.34,13497.18,1800
11:00 - 11:30,13492.18,-21.1,13515.02,13516.32,13478.42,1800
11:30 - 12:00,13495.06,2.88,13491.94,13495.16,13490.14,900
03:00 - 03:30,13515.14,20.08,13533.46,13541.9,13502.3,1671
03:30 - 04:00,13505.55,-9.59,13515.54,13515.81,13492.24,1800
04:00 - 04:30,13515.17,9.62,13505.61,13517.19,13496.54,1800
04:30 - 05:00,13530.24,15.07,13515.09,13532.27,13511.77,1800
05:00 - 05:30,13527.49,-2.75,13530.28,13532.13,13518.9,1800
05:30 - 06:00,13521.21,-6.28,13527.68,13535.23,13517.54,1800
06:00 - 06:30,13540.61,19.4,13520.8,13545.24,13520.5,1800
06:30 - 07:00,13526.48,-14.13,13540.68,13548.2,13525.28,1800
07:00 - 07:30,13525.85,-0.63,13526.94,13527.8,13520.51,1800
07:30 - 08:00,13523.61,-2.24,13525.85,13530.99,13523.16,1800
08:00 - 08:30,13523.87,0.26,13523.56,13530.11,13521.13,1800
08:30 - 09:00,13523.44,-0.43,13523.95,13526.83,13503.1,1800
09:00 - 09:30,13530.03,6.59,13523.28,13534.9,13520.38,1800
09:30 - 10:00,13538.58,8.55,13530.24,13544.92,13516.77,1800
10:00 - 10:30,13534.8,-3.78,13538.62,13540.98,13530.97,1800
10:30 - 11:00,13512.82,-21.98,13534.76,13535.89,13508.37,1800
11:00 - 11:30,13494.57,-18.25,13512.82,13522.54,13490.82,1800
11:30 - 12:00,13483.31,-11.26,13494.59,13494.59,13483.31,900
03:00 - 03:30,13519.24,35.93,13521.86,13522.35,13497.4,1771
03:30 - 04:00,13505.71,-13.53,13519.24,13529.21,13503.34,1800
04:00 - 04:30,13491.07,-14.64,13504.41,13506.17,13474.9,1800
04:30 - 05:00,13503.27,12.2,13490.78,13509.26,13486.65,1800
05:00 - 05:30,13495.71,-7.56,13503.27,13504.84,13478.95,1800
