Time Interval,Close,Net Chg,Open,High,Low,Tick Count
09:30 - 10:00,3268.96,15.91,3266.03,3272.53,3265.45,1800
10:00 - 10:30,3270.33,1.37,3269.01,3270.71,3265.83,1800
10:30 - 11:00,3273.36,3.03,3270.3,3273.9,3269.99,1800
11:00 - 11:30,3270.7,-2.66,3273.4,3273.78,3269.76,1800
11:30 - 12:00,3273.94,3.24,3270.75,3274.57,3270.73,1800
12:00 - 12:30,3269.18,-4.76,3273.95,3274.51,3268.39,1800
12:30 - 13:00,3268.96,-0.22,3269.18,3269.18,3263.67,1800
13:00 - 13:30,3269.4,0.44,3268.97,3269.78,3266.31,1800
13:30 - 14:00,3270.62,1.22,3269.39,3272.31,3268.49,1800
14:00 - 14:30,3272.12,1.5,3270.59,3272.45,3270.39,1800
14:30 - 15:00,3273.26,1.14,3272.16,3275.58,3272.09,1800
15:00 - 15:30,3271.48,-1.78,3273.13,3273.4,3269.74,1800
15:30 - 16:00,3274.74,3.26,3271.6,3275.15,3270.08,1800
16:00 - 16:30,3274.7,-0.04,3274.64,3274.71,3274.64,900
09:30 - 10:00,3280.25,5.55,3281.81,3282.21,3274.76,1800
10:00 - 10:30,3279.67,-0.58,3280.28,3282.99,3278.88,1800
10:30 - 11:00,3280.63,0.96,3279.68,3281.65,3277.9,1800
11:00 - 11:30,3276.63,-4,3280.69,3281.59,3276.53,1800
11:30 - 12:00,3274.4,-2.23,3276.6,3277.21,3272.87,1800
12:00 - 12:30,3272.64,-1.76,3274.46,3274.46,3268.01,1800
12:30 - 13:00,3273.51,0.87,3272.66,3274.64,3272.02,1800
13:00 - 13:30,3275.76,2.25,3273.49,3277.32,3273.27,1800
13:30 - 14:00,3276.39,0.63,3275.81,3277.58,3274.95,1800
14:00 - 14:30,3272.4,-3.99,3276.4,3276.56,3271.94,1800
14:30 - 15:00,3271.51,-0.89,3272.39,3272.52,3269.15,1800
15:00 - 15:30,3267.57,-3.94,3271.46,3271.67,3266.07,1800
